Gene;Accession;318;320;322;324;326;328;330;332;334;336;338;340;342;344;346;348;350;352;354;356;358;360;362;366;368
"Magohb;Magoh;Magohb";"A0A023T778;P61327;Q9CQL1";28489.00;21943.00;29598.00;5704.00;29973.00;21939.00;5276.00;26826.00;31183.00;30803.00;4581.00;24289.00;5447.00;34140.00;29568.00;5365.00;8635.00;4231.00;26469.00;39091.00;23337.00;22184.00;28139.00;21226.00;5550.00
Cask;"A0A067XG53;O70589;O70589-3;O70589-4;O70589-5";2419.00;11821.00;7976.00;8680.00;14182.00;5756.00;3406.00;6802.00;2456.00;11898.00;3293.00;17941.00;4057.00;6510.00;10256.00;4345.00;4818.00;1809.00;2545.00;3486.00;6159.00;8255.00;5096.00;6080.00;7746.00
"Igkv1-99;Igkv1-110;Igkv1-117;Igkv1-88;Igkv1-99;";"A0A075B5K8;A0A0B4J1I0;A0A140T8M0;A0A140T8N1;F6XWB2;P01631";20516.00;29937.00;46854.00;32955.00;15814.00;35060.00;64790.00;24679.00;19405.00;16623.00;17630.00;19027.00;26859.00;29416.00;29096.00;19048.00;28126.00;13216.00;12021.00;13737.00;16046.00;35904.00;26451.00;15918.00;13485.00
Igkv5-39;A0A075B5M7;46955.00;35152.00;33209.00;55738.00;317600.00;128496.00;226221.00;73437.00;49003.00;32670.00;31387.00;34868.00;57944.00;192939.00;58377.00;135015.00;141155.75;33580.00;45537.00;29182.00;34596.00;48273.00;62176.00;66761.00;117402.00
Igkv3-7;A0A075B5N9;120860.00;95202.00;12421.00;112209.00;21813.00;174508.00;104482.00;102608.00;145778.00;82507.00;79906.00;66573.00;NaN;49960.00;94214.00;NaN;48920.00;65556.00;76113.00;NaN;NaN;76227.00;102970.00;51994.00;NaN
Ighg1;"A0A075B5P4;A0A0A6YWR2";154214.00;169558.00;372491.00;163366.00;125577.00;173770.75;72884.00;97208.00;118175.00;77398.00;190673.00;100128.00;108635.00;270117.00;244641.00;204898.00;203376.00;144534.00;198850.00;102237.00;136789.00;171972.00;161329.00;156099.00;179815.00
"Ighg3;Ighg3;;";"A0A075B5P5;A0A1Y7VJN6;P03987;P03987-2";38790.00;23956.00;17174.00;38580.00;49931.00;22013.00;22832.00;30863.00;42661.00;10890.00;13871.00;50509.00;30338.00;41752.00;23543.00;26186.00;21209.00;41801.00;NaN;NaN;9819.00;39257.00;51004.00;7923.00;23858.00
Ighm;"A0A075B5P6;A0A075B6A0;P01872;P01872-2";200505.00;108968.00;139404.00;241831.00;138403.75;194457.00;431309.25;103957.00;250486.25;96681.00;66240.00;92152.00;155606.00;123107.00;128295.00;99556.00;83064.00;122639.00;66102.00;166589.00;88126.00;292772.00;261076.00;88723.00;83332.00
Ighv4-1;A0A075B5R5;29978.00;16884.00;10027.00;24470.00;6283.00;20749.00;21553.00;10376.00;12514.00;NaN;8992.00;20263.00;12441.00;21203.00;NaN;8600.00;13159.00;9655.00;NaN;NaN;9407.00;17708.00;9939.00;NaN;NaN
"Ighv1-31;Ighv1-42;;;";"A0A075B5V1;A0A075B5V6;P01756;P01757;P06330";70180.00;78247.00;144669.00;105587.00;40592.00;61897.00;230303.00;63946.50;97541.00;65151.00;38536.00;63391.00;62526.00;98833.00;81196.00;46676.00;59522.00;44979.00;60615.00;53005.00;59204.00;78074.00;128361.00;57028.00;25193.00
"Iglv1;Iglv2;;;;;";"A0A075B663;A0A075B664;P01723;P01726;P01727;P01728;P01729";NaN;NaN;29449.00;30381.00;NaN;24656.00;109867.00;23686.00;30492.00;22140.00;NaN;20271.00;27810.00;27171.00;24896.00;NaN;20400.00;NaN;22396.00;14969.00;NaN;24645.00;21254.00;NaN;NaN
"Igkv13-85;Igkv13-84";"A0A075B666;A0A140T8N3";53337.00;16146.00;34185.00;37970.00;26164.00;28727.00;53104.00;22655.00;28607.00;17322.00;18042.00;23461.00;58022.00;24470.00;24554.00;13932.00;40920.00;NaN;46811.00;28559.00;15452.00;19764.00;28651.00;15064.00;NaN
"Ighv2-9-1;;";"A0A075B697;P01819;P01820";4406.00;NaN;3400.00;4159.00;5913.00;NaN;15109.00;1134.00;2909.00;NaN;13921.00;NaN;1930.00;3395.00;5514.00;7499.00;2447.00;2583.00;NaN;1658.00;1246.00;2862.00;NaN;NaN;4908.00
Igha;"A0A075B6A3;A0A0A6YXW6";76705.00;55305.00;179981.00;112521.00;52644.00;76350.00;641945.00;87241.00;59632.00;82754.00;64513.00;81733.00;71951.00;197471.00;85137.00;52071.00;103665.00;23083.00;47347.00;34322.00;58459.00;77521.00;55174.00;59295.00;46438.00
Igkv19-93;"A0A075B6D5;A0A0G2JFZ3";35816.00;NaN;21290.00;66288.00;7662.00;12456.00;33529.00;42796.00;29513.00;23712.00;24130.00;10051.00;NaN;24068.00;17072.00;23734.00;18702.00;12249.00;28485.00;7102.00;12644.00;NaN;10375.00;10985.00;60916.00
Srcap;"A0A087WNL7;A0A087WQ44;A0A087WQY5";31544.00;NaN;25489.00;30381.00;30699.00;25605.00;31177.00;26473.00;27309.00;26286.00;30044.00;29807.00;32198.00;21830.00;22943.00;32451.00;37264.00;31848.00;34252.00;29189.75;29568.00;NaN;34285.00;31385.00;41490.00
Srgap2;"A0A087WNM1;Q91Z67";7295.00;7322.00;10348.00;10130.00;NaN;7966.00;9510.00;6856.00;5255.00;6312.00;7321.00;7555.00;5143.00;12619.00;10428.00;7096.00;7644.00;7272.00;8393.00;7496.00;2617.00;9766.00;6916.00;6027.00;6965.00
Cdv3;"A0A087WNP6;Q4VAA2;Q4VAA2-2";119114.00;114757.00;127268.00;122516.00;121969.00;114754.00;154221.00;115857.00;132952.00;122571.00;126190.00;121308.00;113250.00;127568.00;120726.00;112351.00;118350.00;125399.00;118540.00;112694.00;127613.00;123873.00;121388.00;115823.00;118723.25
Eloc;"A0A087WNT1;A0A087WQE6;P83940";67112.50;67532.00;57216.00;61236.00;63514.00;61871.00;64207.00;61955.00;61984.00;56812.00;60127.00;63415.00;56007.00;66756.00;52697.00;59849.00;58405.00;75131.00;59612.00;60052.00;56839.00;55863.00;58294.00;59860.00;58173.00
